A sparse matrix
cols: 150, rows: 150
nonzeros: 1488
(0, 0, 13.2959)
(0, 36, -2.66439)
(0, 39, -3.19998)
(0, 48, -1.87719)
(0, 51, -2.49374)
(0, 57, -2.6646)
(0, 126, -0.656679)
(0, 132, 0.455543)
(0, 138, 1.07141)
(0, 144, -1.26629)
(1, 1, 13.2959)
(1, 37, -2.66439)
(1, 40, -3.19998)
(1, 49, -1.87719)
(1, 52, -2.49374)
(1, 58, -2.6646)
(1, 127, -0.656679)
(1, 133, 0.455543)
(1, 139, 1.07141)
(1, 145, -1.26629)
(2, 2, 13.2959)
(2, 38, -2.66439)
(2, 41, -3.19998)
(2, 50, -1.87719)
(2, 53, -2.49374)
(2, 59, -2.6646)
(2, 128, -0.656679)
(2, 134, 0.455543)
(2, 140, 1.07141)
(2, 146, -1.26629)
(3, 3, 7.42983)
(3, 39, -0.393775)
(3, 42, -0.41005)
(3, 45, -0.665859)
(3, 66, -0.922987)
(3, 75, -0.707521)
(3, 138, -4.32964)
(4, 4, 7.42983)
(4, 40, -0.393775)
(4, 43, -0.41005)
(4, 46, -0.665859)
(4, 67, -0.922987)
(4, 76, -0.707521)
(4, 139, -4.32964)
(5, 5, 7.42983)
(5, 41, -0.393775)
(5, 44, -0.41005)
(5, 47, -0.665859)
(5, 68, -0.922987)
(5, 77, -0.707521)
(5, 140, -4.32964)
(6, 6, 7.62072)
(6, 36, -0.577087)
(6, 42, -1.16427)
(6, 54, -0.556849)
(6, 72, -1.46014)
(6, 81, -0.762613)
(6, 126, -3.09976)
(7, 7, 7.62072)
(7, 37, -0.577087)
(7, 43, -1.16427)
(7, 55, -0.556849)
(7, 73, -1.46014)
(7, 82, -0.762613)
(7, 127, -3.09976)
(8, 8, 7.62072)
(8, 38, -0.577087)
(8, 44, -1.16427)
(8, 56, -0.556849)
(8, 74, -1.46014)
(8, 83, -0.762613)
(8, 128, -3.09976)
(9, 9, 9.79408)
(9, 51, -1.91206)
(9, 54, -1.17134)
(9, 60, -1.17164)
(9, 78, -0.850967)
(9, 87, -3.06082)
(9, 126, -1.83821)
(9, 132, 0.210949)
(10, 10, 9.79408)
(10, 52, -1.91206)
(10, 55, -1.17134)
(10, 61, -1.17164)
(10, 79, -0.850967)
(10, 88, -3.06082)
(10, 127, -1.83821)
(10, 133, 0.210949)
(11, 11, 9.79408)
(11, 53, -1.91206)
(11, 56, -1.17134)
(11, 62, -1.17164)
(11, 80, -0.850967)
(11, 89, -3.06082)
(11, 128, -1.83821)
(11, 134, 0.210949)
(12, 12, 7.62038)
(12, 57, -0.576824)
(12, 60, -0.556487)
(12, 63, -1.16408)
(12, 84, -0.762342)
(12, 93, -1.45981)
(12, 132, -3.10084)
(13, 13, 7.62038)
(13, 58, -0.576824)
(13, 61, -0.556487)
(13, 64, -1.16408)
(13, 85, -0.762342)
(13, 94, -1.45981)
(13, 133, -3.10084)
(14, 14, 7.62038)
(14, 59, -0.576824)
(14, 62, -0.556487)
(14, 65, -1.16408)
(14, 86, -0.762342)
(14, 95, -1.45981)
(14, 134, -3.10084)
(15, 15, 7.43022)
(15, 45, -0.665778)
(15, 48, -0.393319)
(15, 63, -0.409576)
(15, 69, -0.923259)
(15, 90, -0.707413)
(15, 144, -4.33087)
(16, 16, 7.43022)
(16, 46, -0.665778)
(16, 49, -0.393319)
(16, 64, -0.409576)
(16, 70, -0.923259)
(16, 91, -0.707413)
(16, 145, -4.33087)
(17, 17, 7.43022)
(17, 47, -0.665778)
(17, 50, -0.393319)
(17, 65, -0.409576)
(17, 71, -0.923259)
(17, 92, -0.707413)
(17, 146, -4.33087)
(18, 18, 9.73095)
(18, 72, -2.81237)
(18, 75, -0.505528)
(18, 96, -0.499856)
(18, 99, -1.46242)
(18, 111, -1.6565)
(18, 129, 0.734202)
(18, 141, -3.52848)
(19, 19, 9.73095)
(19, 73, -2.81237)
(19, 76, -0.505528)
(19, 97, -0.499856)
(19, 100, -1.46242)
(19, 112, -1.6565)
(19, 130, 0.734202)
(19, 142, -3.52848)
(20, 20, 9.73095)
(20, 74, -2.81237)
(20, 77, -0.505528)
(20, 98, -0.499856)
(20, 101, -1.46242)
(20, 113, -1.6565)
(20, 131, 0.734202)
(20, 143, -3.52848)
(21, 21, 7.45992)
(21, 78, -1.26343)
(21, 81, -0.823814)
(21, 99, -0.525081)
(21, 102, -0.941837)
(21, 117, -0.546701)
(21, 129, -3.35905)
(22, 22, 7.45992)
(22, 79, -1.26343)
(22, 82, -0.823814)
(22, 100, -0.525081)
(22, 103, -0.941837)
(22, 118, -0.546701)
(22, 130, -3.35905)
(23, 23, 7.45992)
(23, 80, -1.26343)
(23, 83, -0.823814)
(23, 101, -0.525081)
(23, 104, -0.941837)
(23, 119, -0.546701)
(23, 131, -3.35905)
(24, 24, 7.45986)
(24, 84, -0.823334)
(24, 87, -1.26326)
(24, 102, -0.942236)
(24, 105, -0.524974)
(24, 120, -0.546769)
(24, 135, -3.35929)
(25, 25, 7.45986)
(25, 85, -0.823334)
(25, 88, -1.26326)
(25, 103, -0.942236)
(25, 106, -0.524974)
(25, 121, -0.546769)
(25, 136, -3.35929)
(26, 26, 7.45986)
(26, 86, -0.823334)
(26, 89, -1.26326)
(26, 104, -0.942236)
(26, 107, -0.524974)
(26, 122, -0.546769)
(26, 137, -3.35929)
(27, 27, 9.73104)
(27, 90, -0.505269)
(27, 93, -2.81285)
(27, 105, -1.46223)
(27, 108, -0.499303)
(27, 123, -1.65564)
(27, 135, 0.734333)
(27, 147, -3.53007)
(28, 28, 9.73104)
(28, 91, -0.505269)
(28, 94, -2.81285)
(28, 106, -1.46223)
(28, 109, -0.499303)
(28, 124, -1.65564)
(28, 136, 0.734333)
(28, 148, -3.53007)
(29, 29, 9.73104)
(29, 92, -0.505269)
(29, 95, -2.81285)
(29, 107, -1.46223)
(29, 110, -0.499303)
(29, 125, -1.65564)
(29, 137, 0.734333)
(29, 149, -3.53007)
(30, 30, 8.75996)
(30, 66, -0.563223)
(30, 69, -2.61402)
(30, 96, -0.833391)
(30, 108, -0.833417)
(30, 114, -1.46172)
(30, 141, -2.17762)
(30, 147, -0.276579)
(31, 31, 8.75996)
(31, 67, -0.563223)
(31, 70, -2.61402)
(31, 97, -0.833391)
(31, 109, -0.833417)
(31, 115, -1.46172)
(31, 142, -2.17762)
(31, 148, -0.276579)
(32, 32, 8.75996)
(32, 68, -0.563223)
(32, 71, -2.61402)
(32, 98, -0.833391)
(32, 110, -0.833417)
(32, 116, -1.46172)
(32, 143, -2.17762)
(32, 149, -0.276579)
(33, 33, 13.3704)
(33, 111, -2.81869)
(33, 114, -2.9257)
(33, 117, -1.55351)
(33, 120, -2.87872)
(33, 123, -2.81886)
(33, 129, -1.70484)
(33, 135, 0.636805)
(33, 141, 0.902939)
(33, 147, -0.20981)
(34, 34, 13.3704)
(34, 112, -2.81869)
(34, 115, -2.9257)
(34, 118, -1.55351)
(34, 121, -2.87872)
(34, 124, -2.81886)
(34, 130, -1.70484)
(34, 136, 0.636805)
(34, 142, 0.902939)
(34, 148, -0.20981)
(35, 35, 13.3704)
(35, 113, -2.81869)
(35, 116, -2.9257)
(35, 119, -1.55351)
(35, 122, -2.87872)
(35, 125, -2.81886)
(35, 131, -1.70484)
(35, 137, 0.636805)
(35, 143, 0.902939)
(35, 149, -0.20981)
(36, 0, -2.66439)
(36, 6, -0.577087)
(36, 36, 9.76083)
(36, 39, -0.591026)
(36, 42, -1.87799)
(36, 51, -0.261713)
(36, 54, -0.2013)
(36, 126, -4.22129)
(36, 138, 0.633955)
(37, 1, -2.66439)
(37, 7, -0.577087)
(37, 37, 9.76083)
(37, 40, -0.591026)
(37, 43, -1.87799)
(37, 52, -0.261713)
(37, 55, -0.2013)
(37, 127, -4.22129)
(37, 139, 0.633955)
(38, 2, -2.66439)
(38, 8, -0.577087)
(38, 38, 9.76083)
(38, 41, -0.591026)
(38, 44, -1.87799)
(38, 53, -0.261713)
(38, 56, -0.2013)
(38, 128, -4.22129)
(38, 140, 0.633955)
(39, 0, -3.19998)
(39, 3, -0.393775)
(39, 36, -0.591026)
(39, 39, 10.8332)
(39, 42, -0.0324753)
(39, 45, -1.403)
(39, 48, -0.924075)
(39, 138, -5.51064)
(39, 144, 1.2218)
(40, 1, -3.19998)
(40, 4, -0.393775)
(40, 37, -0.591026)
(40, 40, 10.8332)
(40, 43, -0.0324753)
(40, 46, -1.403)
(40, 49, -0.924075)
(40, 139, -5.51064)
(40, 145, 1.2218)
(41, 2, -3.19998)
(41, 5, -0.393775)
(41, 38, -0.591026)
(41, 41, 10.8332)
(41, 44, -0.0324753)
(41, 47, -1.403)
(41, 50, -0.924075)
(41, 140, -5.51064)
(41, 146, 1.2218)
(42, 3, -0.41005)
(42, 6, -1.16427)
(42, 36, -1.87799)
(42, 39, -0.0324753)
(42, 42, 9.85302)
(42, 72, -2.06661)
(42, 75, -0.135482)
(42, 126, 0.752866)
(42, 138, -4.91901)
(43, 4, -0.41005)
(43, 7, -1.16427)
(43, 37, -1.87799)
(43, 40, -0.0324753)
(43, 43, 9.85302)
(43, 73, -2.06661)
(43, 76, -0.135482)
(43, 127, 0.752866)
(43, 139, -4.91901)
(44, 5, -0.41005)
(44, 8, -1.16427)
(44, 38, -1.87799)
(44, 41, -0.0324753)
(44, 44, 9.85302)
(44, 74, -2.06661)
(44, 77, -0.135482)
(44, 128, 0.752866)
(44, 140, -4.91901)
(45, 3, -0.665859)
(45, 15, -0.665778)
(45, 39, -1.403)
(45, 45, 8.77217)
(45, 48, -0.12267)
(45, 66, -0.164284)
(45, 69, -1.98227)
(45, 138, -2.13346)
(45, 144, -1.63485)
(46, 4, -0.665859)
(46, 16, -0.665778)
(46, 40, -1.403)
(46, 46, 8.77217)
(46, 49, -0.12267)
(46, 67, -0.164284)
(46, 70, -1.98227)
(46, 139, -2.13346)
(46, 145, -1.63485)
(47, 5, -0.665859)
(47, 17, -0.665778)
(47, 41, -1.403)
(47, 47, 8.77217)
(47, 50, -0.12267)
(47, 68, -0.164284)
(47, 71, -1.98227)
(47, 140, -2.13346)
(47, 146, -1.63485)
(48, 0, -1.87719)
(48, 15, -0.393319)
(48, 39, -0.924075)
(48, 45, -0.12267)
(48, 48, 8.65279)
(48, 57, -0.590689)
(48, 63, -0.0320994)
(48, 144, -4.71274)
(49, 1, -1.87719)
(49, 16, -0.393319)
(49, 40, -0.924075)
(49, 46, -0.12267)
(49, 49, 8.65279)
(49, 58, -0.590689)
(49, 64, -0.0320994)
(49, 145, -4.71274)
(50, 2, -1.87719)
(50, 17, -0.393319)
(50, 41, -0.924075)
(50, 47, -0.12267)
(50, 50, 8.65279)
(50, 59, -0.590689)
(50, 65, -0.0320994)
(50, 146, -4.71274)
(51, 0, -2.49374)
(51, 9, -1.91206)
(51, 36, -0.261713)
(51, 51, 9.02962)
(51, 54, -0.399733)
(51, 57, -0.261684)
(51, 60, -0.399818)
(51, 126, -1.65077)
(51, 132, -1.6501)
(52, 1, -2.49374)
(52, 10, -1.91206)
(52, 37, -0.261713)
(52, 52, 9.02962)
(52, 55, -0.399733)
(52, 58, -0.261684)
(52, 61, -0.399818)
(52, 127, -1.65077)
(52, 133, -1.6501)
(53, 2, -2.49374)
(53, 11, -1.91206)
(53, 38, -0.261713)
(53, 53, 9.02962)
(53, 56, -0.399733)
(53, 59, -0.261684)
(53, 62, -0.399818)
(53, 128, -1.65077)
(53, 134, -1.6501)
(54, 6, -0.556849)
(54, 9, -1.17134)
(54, 36, -0.2013)
(54, 51, -0.399733)
(54, 54, 8.22256)
(54, 78, -0.743963)
(54, 81, -0.419256)
(54, 126, -4.73012)
(55, 7, -0.556849)
(55, 10, -1.17134)
(55, 37, -0.2013)
(55, 52, -0.399733)
(55, 55, 8.22256)
(55, 79, -0.743963)
(55, 82, -0.419256)
(55, 127, -4.73012)
(56, 8, -0.556849)
(56, 11, -1.17134)
(56, 38, -0.2013)
(56, 53, -0.399733)
(56, 56, 8.22256)
(56, 80, -0.743963)
(56, 83, -0.419256)
(56, 128, -4.73012)
(57, 0, -2.6646)
(57, 12, -0.576824)
(57, 48, -0.590689)
(57, 51, -0.261684)
(57, 57, 9.76023)
(57, 60, -0.201106)
(57, 63, -1.87728)
(57, 132, -4.22139)
(57, 144, 0.633342)
(58, 1, -2.6646)
(58, 13, -0.576824)
(58, 49, -0.590689)
(58, 52, -0.261684)
(58, 58, 9.76023)
(58, 61, -0.201106)
(58, 64, -1.87728)
(58, 133, -4.22139)
(58, 145, 0.633342)
(59, 2, -2.6646)
(59, 14, -0.576824)
(59, 50, -0.590689)
(59, 53, -0.261684)
(59, 59, 9.76023)
(59, 62, -0.201106)
(59, 65, -1.87728)
(59, 134, -4.22139)
(59, 146, 0.633342)
(60, 9, -1.17164)
(60, 12, -0.556487)
(60, 51, -0.399818)
(60, 57, -0.201106)
(60, 60, 8.22287)
(60, 84, -0.418917)
(60, 87, -0.743951)
(60, 132, -4.73094)
(61, 10, -1.17164)
(61, 13, -0.556487)
(61, 52, -0.399818)
(61, 58, -0.201106)
(61, 61, 8.22287)
(61, 85, -0.418917)
(61, 88, -0.743951)
(61, 133, -4.73094)
(62, 11, -1.17164)
(62, 14, -0.556487)
(62, 53, -0.399818)
(62, 59, -0.201106)
(62, 62, 8.22287)
(62, 86, -0.418917)
(62, 89, -0.743951)
(62, 134, -4.73094)
(63, 12, -1.16408)
(63, 15, -0.409576)
(63, 48, -0.0320994)
(63, 57, -1.87728)
(63, 63, 9.85272)
(63, 90, -0.135287)
(63, 93, -2.06658)
(63, 132, 0.752459)
(63, 144, -4.92028)
(64, 13, -1.16408)
(64, 16, -0.409576)
(64, 49, -0.0320994)
(64, 58, -1.87728)
(64, 64, 9.85272)
(64, 91, -0.135287)
(64, 94, -2.06658)
(64, 133, 0.752459)
(64, 145, -4.92028)
(65, 14, -1.16408)
(65, 17, -0.409576)
(65, 50, -0.0320994)
(65, 59, -1.87728)
(65, 65, 9.85272)
(65, 92, -0.135287)
(65, 95, -2.06658)
(65, 134, 0.752459)
(65, 146, -4.92028)
(66, 3, -0.922987)
(66, 30, -0.563223)
(66, 45, -0.164284)
(66, 66, 8.91764)
(66, 69, -2.45502)
(66, 75, -1.03147)
(66, 96, -0.446359)
(66, 138, -1.64878)
(66, 141, -1.68552)
(67, 4, -0.922987)
(67, 31, -0.563223)
(67, 46, -0.164284)
(67, 67, 8.91764)
(67, 70, -2.45502)
(67, 76, -1.03147)
(67, 97, -0.446359)
(67, 139, -1.64878)
(67, 142, -1.68552)
(68, 5, -0.922987)
(68, 32, -0.563223)
(68, 47, -0.164284)
(68, 68, 8.91764)
(68, 71, -2.45502)
(68, 77, -1.03147)
(68, 98, -0.446359)
(68, 140, -1.64878)
(68, 143, -1.68552)
(69, 15, -0.923259)
(69, 30, -2.61402)
(69, 45, -1.98227)
(69, 66, -2.45502)
(69, 69, 12.2615)
(69, 90, -1.03154)
(69, 108, -0.446697)
(69, 138, 1.50534)
(69, 141, 0.306148)
(69, 144, -2.83339)
(69, 147, -1.78681)
(70, 16, -0.923259)
(70, 31, -2.61402)
(70, 46, -1.98227)
(70, 67, -2.45502)
(70, 70, 12.2615)
(70, 91, -1.03154)
(70, 109, -0.446697)
(70, 139, 1.50534)
(70, 142, 0.306148)
(70, 145, -2.83339)
(70, 148, -1.78681)
(71, 17, -0.923259)
(71, 32, -2.61402)
(71, 47, -1.98227)
(71, 68, -2.45502)
(71, 71, 12.2615)
(71, 92, -1.03154)
(71, 110, -0.446697)
(71, 140, 1.50534)
(71, 143, 0.306148)
(71, 146, -2.83339)
(71, 149, -1.78681)
(72, 6, -1.46014)
(72, 18, -2.81237)
